rowid,id,age,occup,gender,origlat,origlon,destlat,destlon,orig_geom,dest_geom,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
11,84301075,18_25,student,male,20.98412,105.874288,21.001094,105.847917,0101000020E610000042D2A755F4775A40EB56CF49EFFB3440,0101000020E61000003C2EAA4544765A40C93846B247003540,education,moto,4_7,3.325261553,20.0,cost convinient,0,3,0,0,,1_5,,,,,good,good,good,good,good,private_house,permanent,rent,cost,jam,unsafe,unsafe,500.0,yes,moto,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
12,84094497,18_25,fdi,male,21.001122,105.833513,20.995681,105.865562,0101000020E61000009DF2E84658755A405D4E098849003540,0101000020E610000043AA285E65775A40A33F34F3E4FE3440,work,moto,4_7,3.381591196,25.0,other,1,4,1,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,parking,parking,parking,200.0,yes,no,ebike bike,0,1,1,0,0,0,0,good,good,good,good,good,good,disagree
13,81279413,18_25,student,female,20.983109,105.801543,20.988922,105.815389,0101000020E61000009DD5027B4C735A403C670B08ADFB3440,0101000020E6100000292158552F745A407F4B00FE29FD3440,visit,moto,1_3,1.576121088,15.0,timesaving,0,1,1,0,,11_15,,,,1_5,neutral,neutral,neutral,neutral,bad,private_house,short_stay,rent,cost,cost,unsafe,unsafe,650.0,no,car,bus,0,0,0,1,0,0,0,bad,bad,bad,neutral,bad,bad,disagree
14,81278782,18_25,student,male,20.991107,105.796836,21.022421,105.805304,0101000020E6100000A1116C5CFF725A4030D63730B9FD3440,0101000020E6100000A2D5C9198A735A405EBEF561BD053540,visit,taxi,1_3,3.591203772,20.0,timesaving,0,1,1,0,,1_5,,,6_10,,good,good,good,neutral,neutral,social_house,long_stay,rent,parking,cost,unsafe,unsafe,801.0,yes,moto,car,1,0,0,0,0,0,0,bad,bad,good,good,bad,bad,strongdisagree
15,77341234,18_25,student,female,21.027349,105.801258,21.022101,105.808296,0101000020E6100000236AA2CF47735A400C94145800073540,0101000020E6100000355F251FBB735A407A354069A8053540,education,walk,11_13,0.934959578,10.0,other,0,2,0,0,,11_15,,,,,neutral,neutral,neutral,neutral,neutral,high_rise,long_stay,rent,cost,jam,unsafe,slow,800.0,yes,no,walk,0,0,0,0,0,0,1,verybad,neutral,good,bad,bad,good,disagree
16,77343993,56_75,retired,female,20.963293,105.826879,20.991944,105.818768,0101000020E6100000F3AFE595EB745A403A77BB5E9AF63440,0101000020E6100000BAC0E5B166745A40A376BF0AF0FD3440,visit,moto,1_3,3.295272542,10.0,cost convinient timesaving,0,3,0,0,,11_15,,,,,good,very_good,good,very_good,good,high_rise,permanent,owner,parking,jam,slow,slow,200.0,yes,car,bus lighttrain,0,0,0,1,1,0,0,bad,bad,good,good,bad,bad,agree
17,77347359,18_25,student,female,21.032947,105.766034,21.032947,105.766034,0101000020E6100000F16778B306715A405680EF366F083540,0101000020E6100000F16778B306715A405680EF366F083540,education,bus,4_7,0.0,15.0,other,0,0,0,0,,,,,1_5,11_15,neutral,good,neutral,good,bad,social_house,long_stay,rent,cost,jam,slow,slow,100.0,donotcare,moto,bike bus,0,0,1,1,0,0,0,verygood,good,neutral,good,good,good,neutral
26104,135083467,18_25,private,female,21.033758,105.761335,21.0159,105.774124,0101000020E610000036936FB6B9705A4076FA415DA4083540,0101000020E61000001EC3633F8B715A40A301BC0512043540,work,moto,4_7,2.38853136,35.0,cost,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,50.0,yes,car,bike bus,0,0,1,1,0,0,0,neutral,bad,neutral,bad,neutral,bad,disagree
18,77347518,18_25,student,female,20.930632,106.309734,20.930633,106.309733,0101000020E6100000651D8EAED2935A406F9C14E63DEE3440,0101000020E61000007C5F5CAAD2935A401094DBF63DEE3440,education,ebike,4_7,0.000152,20.0,convinient,0,more_5,1,1,,,11_15,,,,good,good,good,good,good,private_house,long_stay,rent,jam,unsafe,slow,slow,50.0,no,car,car,1,0,0,0,0,0,0,verybad,bad,neutral,good,bad,bad,disagree
19,77348874,18_25,student,female,21.019141,105.804995,21.007961,105.839226,0101000020E6100000639CBF0985735A404303B16CE6043540,0101000020E6100000FCFCF7E0B5755A40BAA46ABB09023540,work,bus,14_16,3.764380012,15.0,cost,0,2,0,0,,1_5,,,,11_15,good,good,good,good,good,private_house,long_stay,rent,cost,jam,slow,slow,700.0,no,moto,bus walk,0,0,0,1,0,0,1,verybad,verybad,neutral,neutral,neutral,bad,neutral
20,77351349,18_25,student,female,21.055657,105.785336,21.046926,105.785315,0101000020E6100000C617EDF142725A4021CB82893F0E3540,0101000020E6100000BA83D89942725A400455A357030C3540,education,moto,17_20,0.970846874,15.0,convinient,0,1,0,0,1_5,16_20,,,,,neutral,neutral,good,good,neutral,private_house,long_stay,rent,cost,cost,cost,slow,200.0,no,no,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,verybad,neutral
21,77446418,18_25,student,male,20.998894,105.850267,20.999617,105.859323,0101000020E61000008E7747C66A765A40AE2B6684B7FF3440,0101000020E6100000D76CE525FF765A40908653E6E6FF3440,visit,moto,1_3,0.943535387,10.0,convinient,0,1,0,0,1_5,16_20,,,,,good,good,good,good,good,private_house,long_stay,rent,cost,jam,slow,slow,100.0,no,car,car bus,1,0,0,1,0,0,0,neutral,bad,bad,bad,bad,bad,neutral
22,77456932,18_25,student,female,21.018968,105.816236,21.017171,105.816064,0101000020E61000005874EB353D745A40A8AB3B16DB043540,0101000020E610000059DC7F643A745A408B70935165043540,work,moto,14_16,0.20061357,10.0,convinient,0,2,1,0,,16_20,,,,1_5,neutral,neutral,neutral,neutral,neutral,private_house,long_stay,rent,cost,cost,cost,slow,200.0,no,car,car bus,1,0,0,1,0,0,0,bad,bad,neutral,good,bad,bad,neutral
46,77575494,18_25,student,male,21.036117,105.80258,21.008324,105.827943,0101000020E61000001E1B81785D735A4063D4B5F63E093540,0101000020E6100000F0FCA204FD745A409CC58B8521023540,education,moto,11_13,4.059688023,25.0,cost convinient,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,parking,parking,parking,800.0,yes,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
23,77714503,56_75,retired,male,21.018055,105.788341,21.012988,105.788364,0101000020E61000002446CF2D74725A407F87A2409F043540,0101000020E61000000056478E74725A408E3D7B2E53033540,shopping,walk,8_10,0.563430636,4.0,convinient,1,2,0,0,1_5,1_5,,,,1_5,good,good,neutral,neutral,neutral,high_rise,permanent,owner,cost,unsafe,slow,slow,300.0,yes,no,bus lighttrain,0,0,0,1,1,0,0,bad,verybad,neutral,good,bad,bad,agree
24,77713486,18_25,student,male,21.046578,105.763801,21.046322,105.762256,0101000020E6100000BCE9961DE2705A408DB62A89EC0B3540,0101000020E610000081CB63CDC8705A40D71533C2DB0B3540,education,moto,8_10,0.162843132,3.0,cost convinient timesaving,0,0,0,0,,,,,1_5,6_10,good,good,neutral,neutral,neutral,private_new,long_stay,parent_house,cost,cost,slow,slow,100.0,no,moto,bus taxi walk,0,0,0,1,0,1,1,bad,bad,neutral,neutral,bad,verybad,neutral
25,77713131,26_35,state,male,21.04063,105.797919,21.035081,105.797275,0101000020E6100000D976DA1A11735A408A3C49BA660A3540,0101000020E6100000C7BAB88D06735A4003B68311FB083540,work,moto,8_10,0.620630952,3.0,cost convinient timesaving,0,2,0,0,1_5,16_20,,,,,good,good,neutral,good,neutral,private_house,long_stay,rent,cost,cost,slow,slow,600.0,yes,no,bus walk,0,0,0,1,0,0,1,verybad,verybad,neutral,neutral,verybad,verybad,agree
26,77712544,26_35,private,male,21.011147,105.804442,21.016653,105.803318,0101000020E6100000D8614CFA7B735A40D272A087DA023540,0101000020E61000007192E68F69735A405B61FA5E43043540,work,moto,17_20,0.623257762,5.0,cost convinient timesaving,0,4,0,0,1_5,16_20,,,,,good,good,good,good,neutral,high_rise,long_stay,parent_house,cost,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,bad,bad,neutral,neutral,bad,bad,agree
27,77517825,18_25,student,female,20.982758,105.797567,20.99582,105.808339,0101000020E61000009B5775560B735A40E3E13D0796FB3440,0101000020E6100000354580D3BB735A40E5B33C0FEEFE3440,education,moto,4_7,1.833081234,10.0,convinient,0,more_5,2,1,1_5,more_20,1_5,1_5,1_5,1_5,good,neutral,neutral,good,neutral,resettlement,long_stay,rent,parking,jam,unsafe,slow,1000.0,yes,car,ebike bike bus walk,0,1,1,1,0,0,1,neutral,good,neutral,neutral,neutral,neutral,disagree
28,77534394,26_35,fdi,male,21.039646,105.913053,20.99422,105.844761,0101000020E6100000F1A0D9756F7A5A40CF6A813D260A3540,0101000020E6100000ECFB709010765A407407B13385FE3440,visit,moto,4_7,8.704123224,35.0,cost convinient timesaving,0,2,0,0,1_5,16_20,,,,,neutral,good,neutral,neutral,neutral,high_rise,long_stay,parent_house,cost,jam,slow,slow,300.0,no,car,car,1,0,0,0,0,0,0,verybad,verybad,neutral,neutral,verybad,verybad,neutral
29,77535043,18_25,student,female,20.994251,105.844742,21.000251,105.877106,0101000020E6100000B0E3BF4010765A40EA03C93B87FE3440,0101000020E61000000648348122785A4092CA147310003540,education,moto,8_10,3.425356749,15.0,cost convinient timesaving,0,2,0,0,1_5,16_20,,,,1_5,neutral,neutral,neutral,neutral,good,private_house,long_stay,rent,cost,cost,slow,slow,500.0,no,car,bus walk,0,0,0,1,0,0,1,bad,bad,neutral,good,bad,verybad,agree
30,77535951,18_25,student,male,20.982689,105.811794,21.027851,105.802867,0101000020E6100000B345D26EF4735A4092239D8191FB3440,0101000020E61000006902452C62735A4030293E3E21073540,education,moto,8_10,5.106577484,20.0,cost convinient,0,1,0,0,,16_20,,,,1_5,very_good,good,neutral,neutral,neutral,private_house,long_stay,rent,cost,cost,cost,slow,700.0,no,no,ebike,0,1,0,0,0,0,0,bad,bad,neutral,neutral,bad,verybad,disagree
31,77536547,18_25,student,female,20.987602,105.793292,20.984562,105.79231,0101000020E61000006B0BCF4BC5725A40D576137CD3FC3440,0101000020E6100000CD920035B5725A4065E256410CFC3440,education,walk,17_20,0.353072636,10.0,cost,0,0,0,0,,1_5,,,1_5,1_5,good,good,good,good,neutral,private_house,long_stay,rent,cost,cost,slow,slow,1000.0,yes,moto,lighttrain,0,0,0,0,1,0,0,bad,bad,neutral,neutral,bad,bad,agree
