rowid,id,age,occup,gender,origlat,origlon,destlat,destlon,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban,index
8095,136433200,26_35,state,male,21.019447,105.847608,21.001151,105.810167,work,moto,17_20,4.386741848,30,convinient,1,2,1,1,6_10,6_10,,,,,neutral,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8096,136433535,26_35,state,male,21.018159,105.855107,21.012916,105.826365,work,moto,17_20,3.03981316,30,convinient,1,2,2,1,,6_10,,,,,,neutral,neutral,,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,yes,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8097,136433818,26_35,state,male,21.018179,105.8525,21.015348,105.829499,work,moto,17_20,2.408119456,30,convinient,0,2,2,0,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8098,136434016,36_55,state,female,21.021023,105.828427,21.022524,105.843474,work,moto,17_20,1.570687539,30,convinient,1,2,2,1,,6_10,,,,,neutral,,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8099,136434281,26_35,state,female,21.009116,105.861254,21.013412,105.815809,visit,car,4_7,4.741394932,30,convinient other,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8100,136434553,26_35,state,male,21.021424,105.847651,21.027871,105.817563,work,moto,17_20,3.20413063,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8101,136434939,26_35,state,female,21.010327,105.835124,21.045869,105.840097,work,moto,17_20,3.985658482,30,cost convinient,1,2,2,1,,6_10,,,,,,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8102,136435149,26_35,state,male,21.002034,105.83375,20.987142,105.851816,work,moto,17_20,2.501905596,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,yes,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8103,136435498,36_55,state,female,21.007496,105.836366,20.983563,105.850182,work,bike,17_20,3.023128375,30,convinient,1,2,2,1,,6_10,,,,,,neutral,neutral,neutral,neutral,private_house,long_stay,parent_house,parking,parking,parking,parking,30,donotcare,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8104,136435784,26_35,state,male,21.020998,105.846405,21.042725,105.84469,work,moto,17_20,2.422484042,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,donotcare,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8105,136435966,36_55,state,male,21.023146,105.828514,21.016548,105.851378,work,moto,17_20,2.484004381,30,convinient,1,2,2,0,,6_10,,,,,,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,donotcare,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8106,136436339,26_35,state,male,21.012864,105.851959,21.011822,105.825553,work,moto,17_20,2.743416573,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree,1
8107,136436648,26_35,state,female,20.997693,105.873676,21.016361,105.857699,work,moto,17_20,2.656969171,30,convinient,1,2,1,1,,6_10,,,,,neutral,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,donotcare,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8108,136436949,26_35,state,female,21.017903,105.858302,21.011814,105.836493,work,moto,17_20,2.362840984,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,donotcare,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8109,136437338,26_35,state,female,21.023026,105.84911,21.007202,105.829313,visit,taxi,17_20,2.70530503,30,timesaving,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8110,136437613,36_55,state,male,21.015273,105.825214,21.032418,105.832452,visit,moto,17_20,2.049120646,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,good,good,private_house,permanent,parent_house,parking,parking,parking,parking,50,donotcare,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8111,136437875,26_35,private,female,21.019265,105.851229,21.022223,105.815788,work,moto,17_20,3.69327878,30,convinient,1,2,2,1,6_10,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8112,136438071,26_35,state,male,21.018828,105.849958,21.019325,105.833253,work,moto,17_20,1.734797607,30,convinient,1,2,2,1,,6_10,,,,,neutral,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8113,136438382,36_55,state,female,21.013464,105.83782,21.016895,105.853402,work,moto,17_20,1.661782331,30,convinient,1,2,1,1,,6_10,,,,,neutral,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree,1
8114,136438555,26_35,state,male,21.020957,105.84705,21.006107,105.833705,work,moto,17_20,2.155326598,30,convinient,1,2,1,1,1_5,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8115,136438818,26_35,state,male,20.986386,105.818427,21.025216,105.833033,work,moto,17_20,4.576176996,30,convinient,1,2,1,1,,6_10,,,,,neutral,,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8116,136439157,26_35,state,male,21.022266,105.844132,21.011302,105.821902,work,moto,17_20,2.609699194,30,convinient,0,2,2,0,,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,owner,parking,parking,parking,parking,50,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8117,136439516,26_35,state,male,21.008717,105.835636,21.033,105.808055,work,moto,17_20,3.935260301,30,timesaving,1,2,2,0,,6_10,,,,,neutral,,neutral,neutral,neutral,private_house,permanent,owner,parking,parking,parking,parking,30,donotcare,car,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8118,136439743,26_35,state,female,21.014435,105.839365,21.018678,105.79889,work,moto,17_20,4.22763488,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree,1
8119,136440117,26_35,state,male,21.018545,105.847963,21.004416,105.80661,work,moto,17_20,4.570983868,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,jam,parking,parking,50,donotcare,moto,taxi,0,0,0,0,0,1,0,good,neutral,neutral,neutral,neutral,neutral,disagree,1
8120,136440432,26_35,state,male,21.016182,105.850794,21.007007,105.818961,work,ebike,17_20,3.458225688,25,cost,1,2,1,1,,6_10,,,,,neutral,neutral,neutral,,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,donotcare,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8121,136440831,26_35,state,male,21.020809,105.854947,21.019741,105.828856,work,moto,17_20,2.710729998,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8122,136441110,36_55,state,male,21.020698,105.852816,21.016456,105.822291,work,moto,17_20,3.203311183,30,convinient,1,2,2,1,,6_10,,,,,neutral,,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8123,136441441,26_35,state,female,21.023253,105.847522,21.016481,105.822525,work,moto,17_20,2.701645066,30,cost convinient timesaving,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree,1
8124,136441712,36_55,state,male,21.011393,105.839452,21.025414,105.852929,work,moto,17_20,2.094641465,20,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8125,136442004,26_35,state,male,21.007279,105.802162,21.021076,105.852418,work,moto,17_20,5.437473744,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,donotcare,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8126,136447347,26_35,state,female,21.020613,105.857288,20.996649,105.828611,work,moto,17_20,3.99521022,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8127,136447797,36_55,state,female,21.017418,105.834992,21.030942,105.814807,work,moto,17_20,2.578891999,30,convinient,1,2,1,1,,6_10,,,,,,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8128,136448358,26_35,state,female,21.020462,105.846707,21.014907,105.817769,work,moto,17_20,3.066539518,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,,neutral,private_house,permanent,parent_house,jam,parking,parking,parking,50,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8129,136451130,26_35,state,male,21.016777,105.851342,21.013826,105.834306,work,moto,17_20,1.79850603,30,convinient,1,2,1,1,,6_10,,,,,neutral,neutral,neutral,,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8130,136451649,36_55,state,female,21.016458,105.85267,21.006001,105.833813,work,moto,4_7,2.276708614,30,convinient,1,2,2,1,,6_10,,,,,neutral,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8131,136452010,36_55,state,female,21.010535,105.820438,21.019379,105.852801,work,moto,17_20,3.500238625,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8132,136452275,26_35,state,female,21.017596,105.83555,20.995436,105.852947,work,moto,17_20,3.054990731,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8133,136452516,26_35,state,female,21.015322,105.849086,21.008804,105.83864,work,moto,17_20,1.304228879,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8134,136636583,26_35,state,male,20.998647,105.845827,21.021222,105.817998,work,ebike,17_20,3.827006533,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8135,136636668,36_55,state,female,21.017747,105.835893,21.037204,105.814829,work,moto,17_20,3.075790342,30,convinient timesaving,1,2,2,2,,6_10,,,,,neutral,,neutral,,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8136,136636802,26_35,state,male,21.017885,105.849368,21.015059,105.817525,work,moto,17_20,3.320147241,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8137,136636904,26_35,state,female,21.015615,105.837438,21.006614,105.854691,work,moto,17_20,2.051592816,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8138,136637031,26_35,state,female,21.022412,105.84881,21.009711,105.832036,work,moto,17_20,2.241882933,30,convinient,1,2,2,1,,6_10,,,,,neutral,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8139,136637224,26_35,private,male,21.022225,105.847179,21.02259,105.81589,work,moto,17_20,3.247863365,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8140,136637317,26_35,state,male,21.030076,105.832332,20.99675,105.845185,work,moto,17_20,3.938535832,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,good,good,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8141,136637419,26_35,state,female,21.022305,105.831774,21.054199,105.811991,work,moto,17_20,4.097893291,30,convinient,0,2,2,1,,6_10,,,,,neutral,,good,good,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,yes,moto,lighttrain,0,0,0,0,1,0,0,good,good,good,good,good,good,agree,1
8142,136637536,36_55,state,male,21.022545,105.848511,21.008282,105.838839,work,moto,17_20,1.877024088,30,convinient,1,2,2,1,,6_10,,,,,,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8143,136637629,26_35,state,male,21.015969,105.856681,21.016261,105.832309,work,moto,17_20,2.529981936,30,convinient,1,2,2,1,6_10,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,walk,0,0,0,0,0,0,1,neutral,good,neutral,neutral,neutral,neutral,neutral,1
8144,136637694,36_55,state,female,21.020569,105.845806,21.016414,105.82241,work,moto,17_20,2.471986946,30,convinient,1,2,2,2,,6_10,,,,,,good,good,good,good,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8145,136637786,36_55,state,female,21.017055,105.854517,21.009787,105.827046,work,moto,17_20,2.963808835,30,convinient timesaving,1,2,2,1,,6_10,,,,,good,good,good,good,good,private_house,permanent,owner,parking,parking,parking,parking,30,donotcare,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8146,136637968,36_55,state,female,21.019776,105.853057,21.009717,105.823675,work,moto,17_20,3.248467203,25,convinient,1,2,2,1,,6_10,,,,,good,good,good,good,good,private_house,permanent,owner,parking,parking,parking,parking,30,donotcare,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8147,136638178,26_35,state,female,21.017897,105.838167,20.997043,105.836228,visit,moto,17_20,2.32758163,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,bus,0,0,0,1,0,0,0,neutral,good,neutral,neutral,neutral,neutral,disagree,1
8148,136638253,26_35,state,male,21.021891,105.848466,21.019861,105.82774,work,moto,17_20,2.163066105,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,owner,parking,parking,parking,parking,30,yes,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8149,136641634,26_35,state,male,21.033025,105.815989,21.019212,105.847115,work,moto,17_20,3.577143022,30,convinient,0,2,2,1,,6_10,,,,,good,good,good,good,good,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8150,136689458,26_35,state,male,21.01926,105.838812,21.004555,105.80618,work,moto,17_20,3.761256339,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8151,136689996,26_35,private,male,21.022171,105.827784,21.036624,105.828783,work,moto,17_20,1.610444053,30,timesaving,1,2,2,1,,6_10,,,,,,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,yes,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8152,136690351,36_55,state,male,21.008635,105.835125,21.001984,105.843366,work,moto,17_20,1.130825362,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,,neutral,private_house,permanent,owner,parking,parking,parking,parking,30,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8153,136690960,26_35,private,male,21.024161,105.842459,21.006294,105.854794,work,moto,17_20,2.363554615,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,donotcare,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8154,136691280,26_35,state,male,21.021682,105.846631,20.991087,105.806767,work,moto,17_20,5.357001857,30,convinient,1,2,2,1,,6_10,,,,,neutral,,neutral,,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8155,136691553,26_35,state,male,21.034602,105.82362,20.999495,105.824927,work,moto,17_20,3.906083019,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,owner,parking,parking,parking,parking,30,yes,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8156,136691806,36_55,private,male,21.020275,105.82581,21.001177,105.861513,work,moto,17_20,4.271355269,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,50,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongagree,1
8157,136692492,26_35,private,male,21.015334,105.855074,21.012735,105.812189,work,moto,17_20,4.460825862,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,walk,0,0,0,0,0,0,1,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8158,136692780,36_55,state,male,21.019503,105.845203,21.009177,105.819742,work,moto,17_20,2.881488421,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8159,136693246,26_35,state,male,21.013595,105.834992,20.994475,105.844621,work,moto,17_20,2.34929795,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,yes,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8160,136693562,26_35,state,male,21.017751,105.833276,21.028392,105.781776,work,moto,17_20,5.474756994,30,convinient,1,2,2,1,,6_10,,,,,neutral,,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,60,yes,moto,walk,0,0,0,0,0,0,1,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8161,136693925,26_35,private,male,21.020743,105.849367,21.037919,105.812171,work,moto,17_20,4.30713929,30,cost convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8162,136694164,26_35,state,male,21.024789,105.830273,21.016621,105.857537,work,moto,17_20,2.972048865,30,convinient timesaving,1,2,2,1,,6_10,,,,,neutral,,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,20,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8163,136694404,26_35,state,male,21.019407,105.849453,21.019274,105.835522,work,moto,17_20,1.446059274,30,convinient,1,2,2,1,,6_10,,,,,neutral,,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8164,136694885,26_35,state,male,21.019367,105.812163,20.99955,105.850485,work,moto,17_20,4.54748713,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,neutral,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8165,136698898,26_35,state,male,21.022038,105.82847,21.001446,105.850743,work,moto,17_20,3.253929941,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,yes,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8166,136699329,26_35,state,male,21.020289,105.824823,21.012236,105.826483,work,moto,17_20,0.911881123,30,convinient,1,2,2,1,,6_10,,,,,neutral,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,yes,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8167,136699718,26_35,state,male,21.020017,105.82098,21.042587,105.837724,work,moto,17_20,3.052619904,30,convinient,1,2,2,1,,6_10,,,,,,good,good,good,good,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
8168,136699988,26_35,state,female,21.015215,105.850612,21.007175,105.829671,work,moto,17_20,2.350378713,30,convinient,1,2,2,1,,6_10,,,,,good,good,good,,good,private_house,permanent,owner,parking,parking,parking,parking,30,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8169,136700361,26_35,private,male,21.0194,105.835507,21.003236,105.86492,work,moto,17_20,3.54288466,30,convinient,1,2,2,1,,6_10,,,,,,good,good,good,good,private_house,permanent,owner,parking,parking,parking,parking,30,donotcare,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
8170,136700641,26_35,state,male,21.010343,105.846542,20.988169,105.810895,work,moto,17_20,4.446708447,30,convinient,1,2,2,1,,6_10,,,,,good,good,good,,good,private_house,permanent,parent_house,parking,parking,parking,parking,30,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8171,136700920,36_55,state,female,21.015251,105.850771,21.011996,105.826067,work,moto,17_20,2.589694875,30,convinient,1,2,2,1,,6_10,,,,,good,good,,good,good,private_house,permanent,parent_house,parking,parking,parking,parking,50,no,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree,1
8172,136701239,26_35,state,female,21.016122,105.83237,21.037985,105.850089,work,moto,17_20,3.048313813,30,timesaving,2,2,1,0,,6_10,,,,,,neutral,neutral,neutral,,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8173,136701600,26_35,state,male,21.026084,105.836323,21.011689,105.849197,work,moto,17_20,2.085119429,30,convinient,1,2,2,1,,6_10,,,,,good,,good,good,good,private_house,permanent,parent_house,parking,parking,parking,parking,30,no,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
8174,136701934,26_35,state,male,21.023627,105.847436,21.007042,105.823448,work,moto,17_20,3.098500823,20,convinient,1,2,2,1,,6_10,,,,,good,,good,good,good,private_house,permanent,parent_house,parking,parking,parking,parking,30,donotcare,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
