rowid,id,age,occup,gender,origlat,origlon,destlat,destlon,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban,index
18,77347518,18_25,student,female,20.930632,106.309734,20.930633,106.309733,education,ebike,4_7,0.000152,20,convinient,0,more_5,1,1,,,11_15,,,,good,good,good,good,good,private_house,long_stay,rent,jam,unsafe,slow,slow,50,no,car,car,1,0,0,0,0,0,0,verybad,bad,neutral,good,bad,bad,disagree,1
19,77348874,18_25,student,female,21.019141,105.804995,21.007961,105.839226,work,bus,14_16,3.764380012,15,cost,0,2,0,0,,1_5,,,,11_15,good,good,good,good,good,private_house,long_stay,rent,cost,jam,slow,slow,700,no,moto,bus walk,0,0,0,1,0,0,1,verybad,verybad,neutral,neutral,neutral,bad,neutral,1
20,77351349,18_25,student,female,21.055657,105.785336,21.046926,105.785315,education,moto,17_20,0.970846874,15,convinient,0,1,0,0,1_5,16_20,,,,,neutral,neutral,good,good,neutral,private_house,long_stay,rent,cost,cost,cost,slow,200,no,no,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,verybad,neutral,1
21,77446418,18_25,student,male,20.998894,105.850267,20.999617,105.859323,visit,moto,1_3,0.943535387,10,convinient,0,1,0,0,1_5,16_20,,,,,good,good,good,good,good,private_house,long_stay,rent,cost,jam,slow,slow,100,no,car,car bus,1,0,0,1,0,0,0,neutral,bad,bad,bad,bad,bad,neutral,1
22,77456932,18_25,student,female,21.018968,105.816236,21.017171,105.816064,work,moto,14_16,0.20061357,10,convinient,0,2,1,0,,16_20,,,,1_5,neutral,neutral,neutral,neutral,neutral,private_house,long_stay,rent,cost,cost,cost,slow,200,no,car,car bus,1,0,0,1,0,0,0,bad,bad,neutral,good,bad,bad,neutral,1
23,77714503,56_75,retired,male,21.018055,105.788341,21.012988,105.788364,shopping,walk,8_10,0.563430636,4,convinient,1,2,0,0,1_5,1_5,,,,1_5,good,good,neutral,neutral,neutral,high_rise,permanent,owner,cost,unsafe,slow,slow,300,yes,no,bus lighttrain,0,0,0,1,1,0,0,bad,verybad,neutral,good,bad,bad,agree,1
24,77713486,18_25,student,male,21.046578,105.763801,21.046322,105.762256,education,moto,8_10,0.162843132,3,cost convinient timesaving,0,0,0,0,,,,,1_5,6_10,good,good,neutral,neutral,neutral,private_new,long_stay,parent_house,cost,cost,slow,slow,100,no,moto,bus taxi walk,0,0,0,1,0,1,1,bad,bad,neutral,neutral,bad,verybad,neutral,1
25,77713131,26_35,state,male,21.04063,105.797919,21.035081,105.797275,work,moto,8_10,0.620630952,3,cost convinient timesaving,0,2,0,0,1_5,16_20,,,,,good,good,neutral,good,neutral,private_house,long_stay,rent,cost,cost,slow,slow,600,yes,no,bus walk,0,0,0,1,0,0,1,verybad,verybad,neutral,neutral,verybad,verybad,agree,1
26,77712544,26_35,private,male,21.011147,105.804442,21.016653,105.803318,work,moto,17_20,0.623257762,5,cost convinient timesaving,0,4,0,0,1_5,16_20,,,,,good,good,good,good,neutral,high_rise,long_stay,parent_house,cost,jam,unsafe,slow,500,yes,car,car,1,0,0,0,0,0,0,bad,bad,neutral,neutral,bad,bad,agree,1
27,77517825,18_25,student,female,20.982758,105.797567,20.99582,105.808339,education,moto,4_7,1.833081234,10,convinient,0,more_5,2,1,1_5,more_20,1_5,1_5,1_5,1_5,good,neutral,neutral,good,neutral,resettlement,long_stay,rent,parking,jam,unsafe,slow,1000,yes,car,ebike bike bus walk,0,1,1,1,0,0,1,neutral,good,neutral,neutral,neutral,neutral,disagree,1
28,77534394,26_35,fdi,male,21.039646,105.913053,20.99422,105.844761,visit,moto,4_7,8.704123224,35,cost convinient timesaving,0,2,0,0,1_5,16_20,,,,,neutral,good,neutral,neutral,neutral,high_rise,long_stay,parent_house,cost,jam,slow,slow,300,no,car,car,1,0,0,0,0,0,0,verybad,verybad,neutral,neutral,verybad,verybad,neutral,1
29,77535043,18_25,student,female,20.994251,105.844742,21.000251,105.877106,education,moto,8_10,3.425356749,15,cost convinient timesaving,0,2,0,0,1_5,16_20,,,,1_5,neutral,neutral,neutral,neutral,good,private_house,long_stay,rent,cost,cost,slow,slow,500,no,car,bus walk,0,0,0,1,0,0,1,bad,bad,neutral,good,bad,verybad,agree,1
30,77535951,18_25,student,male,20.982689,105.811794,21.027851,105.802867,education,moto,8_10,5.106577484,20,cost convinient,0,1,0,0,,16_20,,,,1_5,very_good,good,neutral,neutral,neutral,private_house,long_stay,rent,cost,cost,cost,slow,700,no,no,ebike,0,1,0,0,0,0,0,bad,bad,neutral,neutral,bad,verybad,disagree,1
31,77536547,18_25,student,female,20.987602,105.793292,20.984562,105.79231,education,walk,17_20,0.353072636,10,cost,0,0,0,0,,1_5,,,1_5,1_5,good,good,good,good,neutral,private_house,long_stay,rent,cost,cost,slow,slow,1000,yes,moto,lighttrain,0,0,0,0,1,0,0,bad,bad,neutral,neutral,bad,bad,agree,1
32,77537412,56_75,retired,female,20.964486,105.826664,20.857653,105.763149,caring,bus,1_3,13.58835499,80,convinient timesaving,0,2,0,0,1_5,1_5,,,1_5,1_5,good,good,good,good,good,high_rise,long_stay,parent_house,parking,jam,slow,slow,100,yes,no,bus taxi,0,0,0,1,0,1,0,neutral,neutral,good,good,neutral,neutral,neutral,1
33,77538068,36_55,private,female,20.963684,105.827866,21.011223,105.859607,work,moto,8_10,6.229114896,30,cost convinient timesaving,0,2,0,0,1_5,16_20,,,,,good,good,good,good,good,high_rise,permanent,owner,cost,jam,unsafe,slow,100,no,car,lighttrain,0,0,0,0,1,0,0,bad,bad,neutral,neutral,bad,bad,neutral,1
34,77538766,36_55,private,female,20.963564,105.826921,21.002802,105.857086,work,moto,4_7,5.370696582,45,convinient,1,2,0,0,1_5,16_20,,,,,good,good,good,good,neutral,high_rise,permanent,parent_house,parking,jam,slow,slow,100,yes,no,bus,0,0,0,1,0,0,0,neutral,neutral,good,good,bad,bad,neutral,1
35,77539527,18_25,student,female,21.016934,105.789843,21.029071,105.812459,education,moto,17_20,2.70769586,15,other,0,1,0,0,,,,,,,neutral,neutral,neutral,neutral,neutral,high_rise,long_stay,rent,parking,jam,unsafe,slow,200,yes,no,bus,0,0,0,1,0,0,0,good,bad,neutral,verygood,bad,neutral,agree,1
36,77539772,18_25,student,male,21.036562,105.77847,21.046896,105.784993,education,moto,17_20,1.333672945,10,other,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,jam,slow,100,yes,no,walk,0,0,0,0,0,0,1,good,bad,good,good,bad,bad,disagree,1
37,77541262,18_25,student,female,20.992735,105.798726,21.037403,105.765767,work,moto,8_10,6.031065121,45,other,1,2,1,1,,,,,,,,,,,,old_building,long_stay,parent_house,parking,jam,unsafe,slow,400,yes,car,car ebike,1,1,0,0,0,0,0,neutral,bad,good,good,neutral,bad,strongagree,1
38,77542794,18_25,student,male,20.985202,105.778556,21.036642,105.774994,education,moto,17_20,5.731813945,15,other,0,2,0,0,,,,,,,,,,,,old_building,long_stay,rent,parking,jam,unsafe,slow,1000,no,moto,bus,0,0,0,1,0,0,0,good,verybad,neutral,neutral,good,neutral,disagree,1
39,77573980,26_35,private,female,21.031925,105.772031,21.017062,105.807311,work,moto,17_20,4.01748363,15,convinient,0,1,0,0,,,,,,,bad,good,good,neutral,neutral,private_house,long_stay,parent_house,cost,jam,unsafe,slow,1000,no,no,ebike,0,1,0,0,0,0,0,neutral,bad,neutral,neutral,neutral,good,disagree,1
40,77574187,18_25,student,female,20.983159,105.802546,20.996862,105.795078,work,moto,17_20,1.709612294,15,convinient,0,2,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,600,no,no,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
41,77574534,18_25,private,female,20.983239,105.802245,20.982918,105.811644,work,moto,11_13,0.976469306,15,other,0,2,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,jam,unsafe,slow,600,yes,car,bus,0,0,0,1,0,0,0,neutral,verybad,good,bad,bad,bad,disagree,1
42,77574855,18_25,student,male,20.984284,105.881245,20.998949,105.877939,education,moto,11_13,1.666403428,15,cost,0,1,1,0,,,,,,,,,,,,high_rise,long_stay,rent,parking,jam,unsafe,slow,1000,no,no,bike,0,0,1,0,0,0,0,neutral,bad,neutral,neutral,neutral,neutral,agree,1
43,77575042,18_25,student,male,21.000103,105.841547,21.00201,105.843307,education,moto,11_13,0.279902465,10,cost,0,1,1,0,,,,,,,,,,,,private_house,long_stay,rent,cost,parking,parking,cost,200,yes,no,bus,0,0,0,1,0,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree,1
44,77575098,18_25,student,male,20.981837,105.881295,20.996461,105.866318,education,walk,17_20,2.24986097,10,other,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,jam,unsafe,slow,700,yes,no,lighttrain,0,0,0,0,1,0,0,neutral,verybad,neutral,neutral,neutral,neutral,agree,1
45,77575347,18_25,student,male,21.007066,105.834123,21.027937,105.823609,education,moto,11_13,2.564544062,20,cost convinient,0,3,0,0,,,,,,,,,,,,old_building,long_stay,rent,cost,cost,parking,parking,100,no,no,ebike,0,1,0,0,0,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree,1
46,77575494,18_25,student,male,21.036117,105.80258,21.008324,105.827943,education,moto,11_13,4.059688023,25,cost convinient,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,parking,parking,parking,800,yes,moto,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
